Date,AIEG,AIESH,Gaselwest,IMEA,IVEG,IVEKA,Imewo,Infrax West,Inter-Energa,Intergem,Iverlek,Ores Brabant wallon,Ores Est,Ores Hainaut,Ores Luxembourg,Ores Mouscron,Ores Namur,Ores Verviers,PBE,Regie de Wavre,Resa,Sibelga,Sibelgas
2015-01-01,695.07,602.15,527.54,438.95,420.74,427.52,399.15,511.73,499.64,476.32,548.43,715.55,584.13,664.43,498.71,291.53,709.99,757.87,535.74,609.45,724.66,432.73,525.86
2015-01-02,201.44,174.22,434.71,330.47,319.78,337.91,337.76,498.54,233.71,331.19,298.81,272.35,68.86,298.31,75.41,248.84,211.02,104.93,237.76,263.45,130.82,214.525,266.17
2015-01-03,17.02,25.87,38.98,46.72,43.14,50.94,41.19,39.36,54.01,48.46,44.13,22.01,22.44,22.9,12.88,23.88,18.78,19.22,38.58,20.9,18.16,36.36,45.28
2015-01-04,599.25,181.16,636.79,477.37,441.91,459.43,494.35,670.48,478.18,540.71,549.34,547.61,194.92,458.02,323.87,345.63,412.25,409.95,504.78,598.64,548.75,421.595,533.14
2015-01-05,781.07,717.03,310.56,219.18,222.12,221.38,196.79,206.7,431.21,332.5,458.78,787.43,621.96,759.21,701.83,248.24,788.08,809.96,563.6,682.78,794.46,418.95,493.32
2015-01-06,548.86,411.69,193.26,266.42,271.85,329.77,158.22,187.23,407.19,220.93,323.48,431.74,456.45,322.26,561.79,98.66,517.67,585.38,403.15,445.99,563.48,272.645,323.85
2015-01-07,331.98,176.64,581.6,515.6,493.25,568.52,452.78,622.46,509.56,527.22,594.63,430.81,410.01,340.48,166.66,272.08,336.29,630.29,536.67,348.06,510.05,493.8,579.34
2015-01-08,36.59,25.77,39.6,17.73,15.2,18.32,23.85,36.18,29.97,21.6,20.28,14.58,44.53,24.95,23.81,35.2,27.52,33.06,23.87,24.71,33.34,18.23,24.42
2015-01-09,63.2,65.04,75.33,79.22,71.5,77.28,63.51,72.25,71.14,77.02,78.9,41.77,68.33,46.47,49.32,54.6,54.69,52.39,74.16,54.2,55.8,70.26,90.9
2015-01-10,73.55,85.78,100.88,69.41,63.98,66.68,72.97,101.89,63.07,74.25,76.95,55.82,89.79,70.5,65.87,71.39,74.72,71.92,74.02,62.69,65.91,73.07,93.39
2015-01-11,297.68,461.34,556.72,266.38,269.13,220.99,377.53,526.25,180.81,342.84,308.15,396.22,128.85,506.34,259.81,356.07,326.87,167.39,280.76,265.03,216.48,280.19,325.35
2015-01-12,91.49,85.93,86.66,88.74,81.6,83.93,78.4,80.08,89.79,96.2,100.21,72.95,50.69,84.73,35.23,66.15,77.95,57.9,97.82,96.42,68.31,101.765,127.71
2015-01-13,184.02,154.24,130.52,78.48,74.66,60.88,101.32,121.14,102.39,93.84,77.55,88.68,227.87,107.62,253.98,81.74,156.34,210.3,88.38,87.78,205.06,63.095,78.06
2015-01-14,223.93,231.57,387.19,254.11,242.45,234.07,307.9,437.04,197.66,277.86,257.41,255.05,154.9,279.09,127.63,272.5,201.7,175.12,251.44,209.87,190.08,188.585,231.23
2015-01-15,117.29,75.7,81.64,36.51,37.68,47.9,62.87,85.45,112.34,46.83,76,66.85,127.31,60.13,89.86,45.3,96.17,119.72,116.02,85.17,118.1,62.56,80.9
2015-01-16,383.72,355.48,653.17,513.3,491.87,505.99,528.07,705.65,408.84,535.18,480.09,426.16,189.86,468.23,137,361.79,346,295.03,414.88,380.79,332.17,423.42,500.38
2015-01-17,436.51,378.96,816.63,684.22,642.74,728.1,636.15,857.07,686.99,707.68,755.98,585.28,477.45,693.14,381.2,472.13,431.72,570.27,652.71,469.62,524.83,612.89,732.45
2015-01-18,589.42,521.9,156.65,124.15,127.42,224.56,109.93,132.86,423.49,155.05,379.19,551.54,487.74,452.71,592.63,96.7,620.47,546.23,489.83,554.51,532.52,388.605,474.96
2015-01-19,182.07,72.66,367.45,160.82,157.32,130.8,299.18,469.12,188.2,136.73,79.06,70.32,316.65,61.48,143,231.5,148.68,280.2,91.7,79.47,222.59,59.765,54.26
2015-01-20,509.68,297.18,733.03,206.05,201.08,209.93,457.86,747,418.17,366.91,250.89,229.02,178.85,248.4,479.21,412.7,383.06,440.33,297.12,248.38,519.21,221.975,269.86
2015-01-21,842.34,491.04,513.44,265.01,268.34,346.96,331.63,464.23,682.57,305.67,374.79,475.35,295.41,417.66,749.83,331.88,704.04,623.87,531.48,498.54,740.36,298.615,333.97
2015-01-22,99.32,129.3,126.86,78.85,77.27,76.31,96.75,110.57,95.67,108.09,92.27,85.09,99.63,120.98,111.75,90.63,84.46,97.51,84.85,70.02,94.28,85.53,101.54
2015-01-23,212.68,229.32,707.25,171.41,200.95,138.2,608.86,732.76,123.94,331.7,173.45,207.08,114.75,354.74,180.35,375.8,314.39,131.87,153.57,181.61,140.94,228.03,212.36
2015-01-24,104.81,37.29,548.35,532.17,497.28,337.33,467.85,587.64,73.18,557.56,349.71,228.72,17.35,326.07,51.49,342.16,71,66.85,133.42,146.71,49.11,339.865,435.05
2015-01-25,178.66,199.32,287.68,171.98,171.44,172.38,244.31,312.11,97.15,218.35,187.01,170.48,51.56,201.56,92.94,190.81,160.44,95.98,164.24,178.27,91.6,172.43,187.83
2015-01-26,88.17,65.59,144.26,92.83,96.46,89.71,134.09,143.4,68.03,114.5,83.29,56.08,37.35,69.45,59.65,91.77,68.9,56.47,68.57,61.53,58.47,77.99,97.51
2015-01-27,311.99,216.86,374.45,425.88,421.87,442.22,427.38,389.83,351.34,455.27,441.3,342.39,112.56,295.71,202.85,228.05,269.74,179.26,443.83,346.43,278.75,361.945,435.12
2015-01-28,140.58,105.49,96.57,68.9,62.92,73.22,72.67,83.37,127.12,78,102.8,98.86,180.87,92.77,96.64,64.73,122.96,186.5,118.57,101.01,182.03,101.225,124.75
2015-01-29,202.44,159.73,719.86,440.26,415.91,387.04,600.56,765.69,336.16,519.24,451.77,275.88,189.75,235.46,136.58,293.93,209.98,227.17,403.13,229.71,242.88,349.41,442.9
2015-01-30,140.96,35.92,398.42,360.93,279.66,205.73,365.21,436.97,282.76,277.85,306.24,151.57,60.42,90.36,77.66,310.37,152.21,153.82,312.79,134.72,135.56,257.995,292.78
2015-01-31,302.78,60.73,632.63,757.34,681.92,716.36,612.48,617.45,628.9,683.7,695.66,329.08,268.07,305.22,219.67,347.49,275.39,406.62,587.49,215.53,367.62,594.105,771.7
2015-02-01,113.59,28.71,155.94,205.47,204.54,208.74,156.6,148.26,180.28,182.76,155.76,111.1,62.66,103.01,70.2,95.5,106.06,81.08,163.64,122.01,109.41,134.3,174.78
2015-02-02,488.08,345.18,838.54,269.56,277.1,276.85,667.1,787.04,263.23,557.12,546.67,788.14,115.48,857.04,366.16,498.09,716.46,201.84,520.35,699.28,320.54,606.465,657.59
